GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
access-server,access.config,Config,0,87,0,0,0,26,0,5,0,5
access-server,access.config,FeatureName,0,27,0,0,0,2,0,1,0,1
access-server,access.config,HashGenerator,0,16,0,0,0,4,0,2,0,2
access-server,access.config,Feature,0,9,0,0,0,1,0,1,0,1
access-server,access.config,ObjectMapperHolder,0,27,0,0,0,8,0,3,0,3
access-server,access,AccessServerApplication,5,3,0,0,2,1,1,1,1,1
access-server,access,SwaggerOpenIdConfig,0,97,0,0,0,30,0,3,0,3
access-server,access.manage,Assurance,0,12,0,0,0,1,0,1,0,1
access-server,access.manage,IPAddressProvider,10,44,3,3,2,7,2,2,0,1
access-server,access.manage,ConnectionProviderConverter.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
access-server,access.manage,AssuranceEntity,0,9,0,0,0,1,0,1,0,1
access-server,access.manage,DashBoardConnectionOption,6,48,0,0,0,11,1,4,1,4
access-server,access.manage,ManageAuthorization,0,12,0,0,0,1,0,1,0,1
access-server,access.manage,ResilientErrorHandler.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
access-server,access.manage,Manage,0,81,0,2,0,16,0,3,0,2
access-server,access.manage,PolicyAccessRights,8,87,1,5,2,21,1,7,0,5
access-server,access.manage,MetaDataFeedParser,6,61,0,4,2,18,0,5,0,3
access-server,access.manage,ManageConf,0,32,0,2,0,5,0,4,0,3
access-server,access.manage,ConnectionProviderConverter.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
access-server,access.manage,RequestType,0,39,0,0,0,2,0,1,0,1
access-server,access.manage,LocalManage.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
access-server,access.manage,ConsentType,0,21,0,0,0,2,0,1,0,1
access-server,access.manage,LocalManage.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
access-server,access.manage,ListMerger,7,178,10,26,2,32,9,11,0,2
access-server,access.manage,LocalManage,267,620,10,16,53,122,36,46,29,40
access-server,access.manage,PathUpdateType,0,15,0,0,0,2,0,1,0,1
access-server,access.manage,Contact,4,45,3,3,0,9,3,2,0,2
access-server,access.manage,Consent,5,33,0,0,2,3,1,2,1,2
access-server,access.manage,JSONHeaderInterceptor,0,15,0,0,0,4,0,2,0,2
access-server,access.manage,ResilientErrorHandler,6,39,2,4,2,8,2,4,0,3
access-server,access.manage,ManageData,2,158,2,9,0,33,2,20,0,15
access-server,access.manage,ChangeRequest,21,77,8,4,1,20,6,4,0,4
access-server,access.manage,StepUpType,9,52,3,5,3,10,3,5,0,3
access-server,access.manage,RemoteManage,16,1229,5,17,5,185,5,51,0,45
access-server,access.manage,CIDRInstance,7,174,2,8,1,40,2,8,0,5
access-server,access.manage,ConnectionProviderConverter,31,929,14,44,5,175,13,45,0,29
access-server,access.manage,CidrNotation,0,14,0,0,0,5,0,1,0,1
access-server,access.manage,MetaData,0,85,0,0,0,20,0,8,0,8
access-server,access.manage,RemoteManage.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
access-server,access.manage,RemoteManage.new ParameterizedTypeReference() {...},0,3,0,0,0,1,0,1,0,1
access-server,access.manage,BearerTokenInterceptor,0,30,1,1,0,7,1,2,0,2
access-server,access.manage,MFAType,6,109,1,3,0,21,2,6,1,5
access-server,access.ohdear,OhDearService,58,470,8,16,12,89,10,24,2,20
access-server,access.ohdear,ServiceStatus,0,21,0,0,0,1,0,1,0,1
access-server,access.ohdear,Group,0,9,0,0,0,1,0,1,0,1
access-server,access.ohdear,StatusResponse,0,12,0,0,0,1,0,1,0,1
access-server,access.validation,URLFormatValidator,0,15,0,0,0,4,0,3,0,3
access-server,access.validation,EmailFormatValidator,0,15,0,0,0,5,0,4,0,4
access-server,access.remote,RestTemplateFactory,0,103,1,3,0,28,1,5,0,4
access-server,access.lifecycle,LifeCycleResult,0,14,0,0,0,4,0,1,0,1
access-server,access.lifecycle,UserLifeCycleController,2,140,1,3,1,28,1,8,0,7
access-server,access.invite,InviteClient,4,62,2,4,2,9,2,4,0,3
access-server,access.mail,MailBox.MailAttachment,0,12,0,0,0,5,0,1,0,1
access-server,access.mail,MailBox,40,1069,17,21,0,174,17,22,0,20
access-server,access.mail,MailConf,0,16,0,0,0,2,0,2,0,2
